Time,Distance,PID
4907.571,-6.0,0.0
4907.572,-6.0,0.0
4907.574,-6.0,0.0
4907.575,-6.0,0.0
4907.576,-6.0,0.0
4907.577,-6.0,0.0
4907.578,-6.0,0.0
4907.578,-6.0,0.0
4907.579,-6.0,0.0
4907.58,-6.0,0.0
4907.586,-6.0,0.0
4907.587,-6.0,0.0
4907.587,-6.0,0.0
4907.588,-6.0,0.0
4907.589,-6.0,0.0
4907.59,-6.0,0.0
4907.593,-6.0,0.0
4907.593,-6.0,0.0
4907.594,-6.0,0.0
4907.595,-6.0,0.0
4907.596,-6.0,0.0
4907.597,-6.0,0.0
4907.597,-6.0,0.0
4907.598,-6.0,0.0
4907.599,-6.0,0.0
4907.6,-6.0,0.0
4907.601,-6.0,0.0
4907.601,-6.0,0.0
4907.602,-6.0,0.0
4907.603,-6.0,0.0
4907.604,-6.0,0.0
4907.606,-6.0,0.0
4907.607,-6.0,0.0
4907.608,-6.0,0.0
4907.61,-6.0,0.0
4907.611,-6.0,0.0
4907.617,-6.0,0.0
4907.618,-6.0,0.0
4907.619,-6.0,0.0
4907.621,-6.0,0.0
4907.626,-6.0,0.0
4907.627,-6.0,0.0
4907.629,-6.0,0.0
4907.63,-6.0,0.0
4907.633,-6.0,0.0
4907.634,-6.0,0.0
4907.635,-6.0,0.0
4907.637,-6.0,0.0
4907.638,-6.0,0.0
4907.642,-6.0,0.0
4907.643,-6.0,0.0
4907.644,-6.0,0.0
4907.646,-6.0,0.0
4907.649,-6.0,0.0
4907.651,-6.0,0.0
4907.652,-6.0,0.0
4907.653,-6.0,0.0
4907.656,-4.0,55.0
4907.657,-4.0,0.0
4907.672,-4.0,0.0
4907.672,-4.0,0.0
4907.673,-4.0,0.0
4907.674,-4.0,0.0
4907.675,-4.0,0.0
4907.676,-4.0,0.0
4907.676,-4.0,0.0
4907.677,-4.0,0.0
4907.683,-4.0,0.0
4907.684,-4.0,0.0
4907.685,-4.0,0.0
4907.685,-4.0,0.0
4907.686,-4.0,0.0
4907.687,-4.0,0.0
4907.692,-4.0,0.0
4907.693,-4.0,0.0
4907.693,-4.0,0.0
4907.694,-4.0,0.0
4907.695,-4.0,0.0
4907.696,-4.0,0.0
4907.697,-4.0,0.0
4907.698,-4.0,0.0
4907.699,-4.0,0.0
4907.7,-4.0,0.0
4907.701,-4.0,0.0
4907.702,-4.0,0.0
4907.702,-4.0,0.0
4907.703,-4.0,0.0
4907.707,-4.0,0.0
4907.708,-4.0,0.0
4907.709,-4.0,0.0
4907.711,-4.0,0.0
4907.712,-4.0,0.0
4907.715,-4.0,0.0
4907.717,-4.0,0.0
4907.718,-4.0,0.0
4907.72,-4.0,0.0
4907.721,-4.0,0.0
4907.722,-4.0,0.0
4907.724,-4.0,0.0
4907.725,-4.0,0.0
4907.728,-4.0,0.0
4907.729,-4.0,0.0
4907.73,-4.0,0.0
4907.732,-4.0,0.0
4907.733,-4.0,0.0
4907.739,-4.0,0.0
4907.74,-4.0,0.0
4907.741,-4.0,0.0
4907.743,-4.0,0.0
4907.748,-4.0,0.0
4907.749,-4.0,0.0
4907.751,-4.0,0.0
4907.752,-4.0,0.0
4907.755,-4.0,0.0
4907.757,-6.0,-58.0
4907.758,-6.0,0.0
4907.771,-6.0,0.0
4907.772,-6.0,0.0
4907.772,-6.0,0.0
4907.773,-6.0,0.0
4907.774,-6.0,0.0
4907.775,-6.0,0.0
4907.776,-6.0,0.0
4907.776,-6.0,0.0
4907.777,-6.0,0.0
4907.778,-6.0,0.0
4907.779,-6.0,0.0
4907.78,-6.0,0.0
4907.78,-6.0,0.0
4907.781,-6.0,0.0
4907.782,-6.0,0.0
4907.784,-6.0,0.0
4907.785,-6.0,0.0
4907.785,-6.0,0.0
4907.786,-6.0,0.0
4907.787,-6.0,0.0
4907.788,-6.0,0.0
4907.789,-6.0,0.0
4907.794,-6.0,0.0
4907.794,-6.0,0.0
4907.795,-6.0,0.0
4907.796,-6.0,0.0
4907.797,-6.0,0.0
4907.797,-6.0,0.0
4907.798,-6.0,0.0
4907.799,-6.0,0.0
4907.805,-6.0,0.0
4907.806,-6.0,0.0
4907.807,-6.0,0.0
