340496, -0.55, 0.42, -17.17, 9.40, 18.59, -1.41, -2.02 
340533, 1.08, 1.63, -17.16, 9.40, 18.53, -1.16, -1.66 
340570, 0.11, 0.85, -17.16, 9.40, 18.49, -1.03, -1.41 
340607, -4.48, -1.33, -17.17, 9.40, 18.48, -1.38, -1.40 
340644, 1.51, -5.20, -17.17, 9.39, 18.42, -1.09, -1.79 
340681, -0.80, -0.13, -17.17, 9.40, 18.42, -1.06, -1.62 
340718, 0.77, 8.10, -17.17, 9.39, 18.48, -0.88, -0.65 
340755, 3.35, -3.87, -17.17, 9.39, 18.51, -0.45, -0.97 
340792, -0.27, -1.14, -17.17, 9.39, 18.59, -0.43, -0.99 
340829, -0.03, 0.24, -17.18, 9.39, 18.59, -0.40, -0.86 
340866, -0.75, -0.16, -17.18, 9.40, 18.58, -0.44, -0.79 
340903, -0.03, -0.21, -17.18, 9.40, 18.59, -0.40, -0.73 
340940, -0.70, -0.29, -17.19, 9.41, 18.59, -0.44, -0.68 
340977, -0.56, 0.00, -17.20, 9.41, 18.59, -0.46, -0.61 
341014, -0.51, 0.05, -17.20, 9.41, 18.59, -0.46, -0.54 
341051, -0.11, 0.16, -17.20, 9.42, 18.59, -0.42, -0.47 
341088, 6.83, -3.68, -17.19, 9.42, 18.50, 0.30, -0.79 
341125, -2.20, 1.55, -17.20, 9.42, 18.43, 0.05, -0.55 
341162, -0.34, -0.87, -17.19, 9.41, 18.37, 0.01, -0.59 
341199, -0.85, -0.16, -17.20, 9.42, 18.37, -0.07, -0.54 
341236, 0.13, -0.35, -17.20, 9.42, 18.37, -0.06, -0.52 
341273, -0.40, 0.00, -17.20, 9.42, 18.37, -0.09, -0.47 
341310, -0.55, -1.06, -17.21, 9.42, 18.37, -0.14, -0.53 
341347, -0.43, -0.43, -17.21, 9.43, 18.36, -0.18, -0.51 
341384, -0.66, -0.13, -17.21, 9.43, 18.36, -0.23, -0.47 
341421, -0.53, -0.48, -17.22, 9.43, 18.36, -0.26, -0.47 
341458, -0.50, -0.40, -17.22, 9.45, 18.36, -0.29, -0.44 
341495, -0.67, -0.51, -17.23, 9.44, 18.37, -0.33, -0.46 
341532, -0.40, -0.03, -17.22, 9.44, 18.36, -0.34, -0.42 
341569, -0.35, -0.35, -17.22, 9.45, 18.37, -0.34, -0.40 
341606, -1.00, -0.30, -17.23, 9.44, 18.38, -0.41, -0.40 
341643, -0.43, 0.05, -17.22, 9.44, 18.39, -0.40, -0.36 
341680, -0.29, -0.34, -17.22, 9.43, 18.41, -0.39, -0.36 
341717, -0.74, -0.29, -17.22, 9.43, 18.40, -0.43, -0.36 
341754, -0.53, -0.55, -17.22, 9.43, 18.40, -0.44, -0.38 
341791, -0.21, -0.50, -17.23, 9.44, 18.41, -0.42, -0.38 
341828, 0.40, 0.03, -17.23, 9.44, 18.41, -0.34, -0.34 
341865, 0.11, -0.75, -17.23, 9.43, 18.40, -0.30, -0.38 
